Date,Views
20150706,6
20150707,13
20150708,16
20150709,13
20150710,21
20150711,16
20150712,18
20150713,13
20150714,10
20150715,11
20150716,68
20150717,15
20150718,14
20150719,18
20150720,16
20150721,14
20150722,17
20150723,13
20150724,12
20150725,20
20150726,19
20150727,12
20150728,14
20150729,20
20150730,12
20150731,19
20150801,11
20150802,19
20150803,4
20150804,25
20150805,7
20150806,15
20150807,10
20150808,19
20150809,25
20150810,14
20150811,16
20150812,15
20150813,11
20150814,20
20150815,11
20150816,11
20150817,8
20150818,9
20150819,17
20150820,14
20150821,12
20150822,12
20150823,16
20150824,10
20150825,17
20150826,16
20150827,6
20150828,16
20150829,12
20150830,10
20150831,8
20150901,10
20150902,8
20150903,10
20150904,7
