Date,Views
20180809,6
20180810,10
20180811,12
20180812,5
20180813,10
20180814,2
20180815,14
20180816,6
20180817,9
20180818,12
20180819,16
20180820,8
20180821,7
20180822,3
20180823,10
20180824,7
20180825,11
20180826,15
20180827,20
20180828,9
20180829,46
20180830,15
20180831,32
20180901,15
20180902,45
20180903,30
20180904,30
20180905,10
20180906,11
20180907,25
20180908,10
20180909,26
20180910,21
20180911,8
20180912,18
20180913,15
20180914,8
20180915,9
20180916,8
20180917,1
20180918,7
20180919,13
20180920,10
20180921,6
20180922,15
20180923,7
20180924,12
20180925,6
20180926,17
20180927,12
20180928,7
20180929,16
20180930,11
20181001,11
20181002,15
20181003,18
20181004,12
20181005,36
20181006,20
20181007,24
20181008,22
