Date,Views
20180809,142
20180810,160
20180811,138
20180812,112
20180813,136
20180814,109
20180815,125
20180816,120
20180817,176
20180818,130
20180819,96
20180820,132
20180821,146
20180822,120
20180823,166
20180824,148
20180825,169
20180826,128
20180827,133
20180828,160
20180829,139
20180830,132
20180831,123
20180901,118
20180902,95
20180903,130
20180904,153
20180905,187
20180906,154
20180907,205
20180908,139
20180909,107
20180910,103
20180911,148
20180912,154
20180913,129
20180914,127
20180915,95
20180916,123
20180917,127
20180918,113
20180919,134
20180920,111
20180921,155
20180922,106
20180923,122
20180924,131
20180925,188
20180926,131
20180927,92
20180928,104
20180929,99
20180930,128
20181001,116
20181002,117
20181003,112
20181004,113
20181005,140
20181006,102
20181007,115
20181008,142
