Date,Views
20180809,3415
20180810,3276
20180811,3474
20180812,3077
20180813,3255
20180814,3920
20180815,3534
20180816,3491
20180817,3217
20180818,3296
20180819,3319
20180820,3127
20180821,3251
20180822,3173
20180823,3666
20180824,3046
20180825,2907
20180826,3304
20180827,2959
20180828,3119
20180829,3074
20180830,3221
20180831,3250
20180901,3038
20180902,3171
20180903,3517
20180904,3260
20180905,2935
20180906,3047
20180907,2700
20180908,2780
20180909,3275
20180910,3902
20180911,3624
20180912,3233
20180913,3879
20180914,3856
20180915,3547
20180916,3416
20180917,4251
20180918,4253
20180919,3250
20180920,3133
20180921,3430
20180922,3560
20180923,3738
20180924,4389
20180925,3463
20180926,4387
20180927,3902
20180928,4427
20180929,7047
20180930,5846
20181001,4583
20181002,3855
20181003,4279
20181004,8192
20181005,4927
20181006,5054
20181007,5570
20181008,5347
