Date,Views
20180809,6279
20180810,5825
20180811,5635
20180812,5549
20180813,4870
20180814,3710
20180815,4422
20180816,6634
20180817,3843
20180818,3212
20180819,5594
20180820,4425
20180821,3475
20180822,6870
20180823,4580
20180824,4125
20180825,3083
20180826,4617
20180827,3652
20180828,4437
20180829,3972
20180830,3485
20180831,4269
20180901,3471
20180902,3891
20180903,4331
20180904,33347
20180905,26124
20180906,97918
20180907,104592
20180908,39611
20180909,25790
20180910,17331
20180911,13486
20180912,11282
20180913,29041
20180914,10572
20180915,7445
20180916,11451
20180917,8519
20180918,11115
20180919,9778
20180920,6852
20180921,6518
20180922,5387
20180923,5522
20180924,6523
20180925,6795
20180926,7898
20180927,110051
20180928,100592
20180929,51861
20180930,32478
20181001,26805
20181002,19496
20181003,18951
20181004,19633
20181005,21257
20181006,19886
20181007,16916
20181008,16067
