Date,Views
20180809,2
20180810,6
20180811,3
20180812,4
20180813,7
20180814,3
20180815,9
20180816,3
20180817,5
20180818,7
20180819,10
20180820,10
20180821,3
20180822,11
20180823,3
20180824,3
20180825,10
20180826,5
20180827,6
20180828,3
20180829,7
20180830,3
20180831,7
20180901,2
20180902,7
20180903,4
20180904,1
20180905,6
20180906,9
20180907,3
20180908,3
20180909,6
20180910,12
20180911,6
20180912,5
20180913,4
20180914,5
20180915,2
20180916,6
20180917,3
20180918,2
20180919,7
20180920,7
20180921,3
20180922,3
20180923,3
20180924,4
20180925,1
20180926,2
20180927,1
20180928,2
20180929,6
20180930,11
20181001,5
20181002,3
20181003,4
20181004,1
20181005,6
20181006,4
20181007,3
20181008,5
