Date,Views
20180809,75
20180810,72
20180811,95
20180812,84
20180813,79
20180814,70
20180815,83
20180816,56
20180817,75
20180818,108
20180819,102
20180820,81
20180821,59
20180822,77
20180823,83
20180824,74
20180825,101
20180826,75
20180827,67
20180828,65
20180829,62
20180830,60
20180831,48
20180901,54
20180902,68
20180903,75
20180904,76
20180905,58
20180906,63
20180907,79
20180908,78
20180909,61
20180910,144
20180911,59
20180912,49
20180913,153
20180914,68
20180915,77
20180916,53
20180917,63
20180918,78
20180919,69
20180920,66
20180921,52
20180922,101
20180923,55
20180924,57
20180925,96
20180926,90
20180927,51
20180928,53
20180929,58
20180930,69
20181001,56
20181002,55
20181003,45
20181004,42
20181005,54
20181006,73
20181007,143
20181008,67
