Date,Views
20180809,127
20180810,113
20180811,107
20180812,123
20180813,172
20180814,160
20180815,136
20180816,148
20180817,193
20180818,150
20180819,163
20180820,157
20180821,117
20180822,142
20180823,108
20180824,128
20180825,102
20180826,84
20180827,147
20180828,122
20180829,156
20180830,133
20180831,128
20180901,88
20180902,109
20180903,130
20180904,123
20180905,127
20180906,144
20180907,114
20180908,114
20180909,162
20180910,171
20180911,208
20180912,157
20180913,176
20180914,131
20180915,167
20180916,160
20180917,167
20180918,212
20180919,188
20180920,197
20180921,196
20180922,135
20180923,152
20180924,242
20180925,285
20180926,259
20180927,205
20180928,144
20180929,128
20180930,176
20181001,216
20181002,211
20181003,199
20181004,204
20181005,175
20181006,154
20181007,158
20181008,222
