Date,Views
20210628,7800
20210629,4476
20210630,8090
20210701,21343
20210702,9423
20210703,8105
20210704,3447
20210705,9163
20210706,5220
20210707,27611
20210708,7927
20210709,16286
20210710,7356
20210711,46128
20210712,5981
20210713,3382
20210714,2340
20210715,2130
20210716,2055
20210717,2221
20210718,2224
20210719,1930
20210720,1822
20210721,1711
20210722,1472
20210723,1437
20210724,1557
20210725,1422
20210726,1395
20210727,1403
20210728,1304
20210729,1444
20210730,1702
20210731,1436
20210801,2241
20210802,1315
20210803,1038
20210804,1006
20210805,886
20210806,848
20210807,826
20210808,1577
20210809,1409
20210810,944
20210811,1279
20210812,2371
20210813,1631
20210814,2795
20210815,2120
20210816,1061
20210817,925
20210818,852
20210819,866
20210820,849
20210821,886
20210822,877
20210823,940
20210824,785
20210825,769
20210826,841
20210827,756
