Date,Views
20210628,608
20210629,508
20210630,538
20210701,583
20210702,618
20210703,602
20210704,654
20210705,575
20210706,658
20210707,1061
20210708,617
20210709,632
20210710,650
20210711,947
20210712,740
20210713,815
20210714,961
20210715,2157
20210716,1667
20210717,2229
20210718,2834
20210719,1616
20210720,849
20210721,659
20210722,776
20210723,722
20210724,704
20210725,837
20210726,622
20210727,618
20210728,615
20210729,618
20210730,459
20210731,550
20210801,615
20210802,503
20210803,440
20210804,507
20210805,446
20210806,411
20210807,478
20210808,475
20210809,432
20210810,451
20210811,461
20210812,459
20210813,424
20210814,480
20210815,477
20210816,528
20210817,522
20210818,5189
20210819,5447
20210820,1764
20210821,1329
20210822,921
20210823,744
20210824,716
20210825,576
20210826,705
20210827,596
