Date,Views
20210628,6141
20210629,1479
20210630,909
20210701,672
20210702,610
20210703,581
20210704,626
20210705,589
20210706,553
20210707,527
20210708,541
20210709,531
20210710,420
20210711,405
20210712,355
20210713,425
20210714,386
20210715,359
20210716,419
20210717,451
20210718,530
20210719,473
20210720,610
20210721,531
20210722,666
20210723,1114
20210724,1615
20210725,5544
20210726,6087
20210727,12791
20210728,9598
20210729,6411
20210730,5336
20210731,2377
20210801,2315
20210802,2701
20210803,2862
20210804,2080
20210805,1182
20210806,959
20210807,897
20210808,858
20210809,674
20210810,592
20210811,501
20210812,487
20210813,461
20210814,423
20210815,427
20210816,356
20210817,351
20210818,343
20210819,276
20210820,291
20210821,287
20210822,280
20210823,293
20210824,265
20210825,255
20210826,219
20210827,222
