Date,Views
20210628,16
20210629,20
20210630,15
20210701,31
20210702,14
20210703,19
20210704,8
20210705,24
20210706,16
20210707,28
20210708,15
20210709,27
20210710,24
20210711,14
20210712,19
20210713,15
20210714,24
20210715,12
20210716,21
20210717,14
20210718,32
20210719,44
20210720,18
20210721,16
20210722,19
20210723,22
20210724,30
20210725,43
20210726,55
20210727,45
20210728,66
20210729,32
20210730,32
20210731,44
20210801,65
20210802,29
20210803,32
20210804,51
20210805,31
20210806,42
20210807,38
20210808,41
20210809,34
20210810,21
20210811,22
20210812,22
20210813,43
20210814,30
20210815,18
20210816,21
20210817,44
20210818,25
20210819,24
20210820,39
20210821,16
20210822,33
20210823,29
20210824,25
20210825,16
20210826,19
20210827,19
