Date,Views
20180105,58
20180106,67
20180107,127
20180108,81
20180109,72
20180110,68
20180111,56
20180112,49
20180113,157
20180114,410
20180115,293
20180116,141
20180117,114
20180118,132
20180119,101
20180120,121
20180121,266
20180122,1356
20180123,287
20180124,166
20180125,153
20180126,169
20180127,141
20180128,191
20180129,202
20180130,199
20180131,198
20180201,216
20180202,313
20180203,358
20180204,1198
20180205,5519
20180206,1095
20180207,546
20180208,639
20180209,369
20180210,248
20180211,195
20180212,173
20180213,112
20180214,109
20180215,91
20180216,101
20180217,84
20180218,78
20180219,66
20180220,49
20180221,49
20180222,53
20180223,55
20180224,52
20180225,65
20180226,63
20180227,60
20180228,53
20180301,50
20180302,47
20180303,38
20180304,55
20180305,53
20180306,52
