Date,Views
20180105,456
20180106,350
20180107,469
20180108,349
20180109,281
20180110,247
20180111,308
20180112,291
20180113,383
20180114,422
20180115,405
20180116,330
20180117,228
20180118,245
20180119,201
20180120,245
20180121,426
20180122,399
20180123,278
20180124,185
20180125,164
20180126,149
20180127,232
20180128,209
20180129,194
20180130,179
20180131,179
20180201,167
20180202,181
20180203,171
20180204,245
20180205,343
20180206,224
20180207,236
20180208,205
20180209,177
20180210,155
20180211,158
20180212,190
20180213,165
20180214,132
20180215,106
20180216,129
20180217,126
20180218,100
20180219,131
20180220,131
20180221,159
20180222,116
20180223,97
20180224,97
20180225,105
20180226,128
20180227,83
20180228,117
20180301,115
20180302,103
20180303,123
20180304,114
20180305,104
20180306,102
