Date,Views
20190315,9482
20190316,16086
20190317,18520
20190318,21944
20190319,6563
20190320,6129
20190321,5261
20190322,5237
20190323,8961
20190324,9954
20190325,8905
20190326,8396
20190327,11646
20190328,12519
20190329,17396
20190330,20129
20190331,37813
20190401,27062
20190402,12359
20190403,7726
20190404,6768
20190405,5896
20190406,5965
20190407,5950
20190408,5527
20190409,5094
20190410,4516
20190411,4516
20190412,4375
20190413,4641
20190414,6943
20190415,7028
20190416,5873
20190417,5345
20190418,5803
20190419,6138
20190420,6907
20190421,6311
20190422,5170
20190423,4742
20190424,4709
20190425,4906
20190426,4555
20190427,5459
20190428,5775
20190429,4489
20190430,4154
20190501,4148
20190502,4366
20190503,4423
20190504,4898
20190505,5135
20190506,5674
20190507,7655
20190508,7309
20190509,12183
20190510,13064
20190511,10900
20190512,10293
20190513,6988
20190514,6227
