Date,Views
20190315,233
20190316,213
20190317,186
20190318,249
20190319,228
20190320,207
20190321,195
20190322,220
20190323,283
20190324,284
20190325,253
20190326,285
20190327,255
20190328,294
20190329,238
20190330,323
20190331,280
20190401,270
20190402,274
20190403,281
20190404,278
20190405,259
20190406,289
20190407,313
20190408,292
20190409,247
20190410,281
20190411,270
20190412,266
20190413,290
20190414,429
20190415,355
20190416,250
20190417,216
20190418,259
20190419,279
20190420,238
20190421,252
20190422,251
20190423,256
20190424,266
20190425,252
20190426,297
20190427,274
20190428,235
20190429,196
20190430,227
20190501,190
20190502,251
20190503,180
20190504,209
20190505,196
20190506,219
20190507,217
20190508,245
20190509,189
20190510,216
20190511,268
20190512,199
20190513,194
20190514,180
