Date,Views
20210109,86
20210110,110
20210111,112
20210112,160
20210113,93
20210114,96
20210115,72
20210116,88
20210117,106
20210118,88
20210119,58
20210120,118
20210121,101
20210122,78
20210123,108
20210124,109
20210125,134
20210126,92
20210127,97
20210128,90
20210129,93
20210130,78
20210131,99
20210201,80
20210202,105
20210203,102
20210204,116
20210205,91
20210206,94
20210207,170
20210208,152
20210209,147
20210210,87
20210211,99
20210212,121
20210213,100
20210214,80
20210215,107
20210216,58
20210217,95
20210218,71
20210219,84
20210220,91
20210221,69
20210222,79
20210223,80
20210224,69
20210225,67
20210226,67
20210227,51
20210228,67
20210301,55
20210302,65
20210303,79
20210304,60
20210305,74
20210306,78
20210307,58
20210308,80
20210309,58
20210310,58
