Date,Views
20210109,762
20210110,9162
20210111,5367
20210112,1640
20210113,1270
20210114,1040
20210115,835
20210116,942
20210117,1462
20210118,1231
20210119,741
20210120,503
20210121,630
20210122,640
20210123,666
20210124,1409
20210125,2406
20210126,1077
20210127,681
20210128,604
20210129,581
20210130,486
20210131,630
20210201,600
20210202,1096
20210203,766
20210204,590
20210205,659
20210206,619
20210207,1859
20210208,3238
20210209,1265
20210210,876
20210211,635
20210212,511
20210213,538
20210214,476
20210215,480
20210216,433
20210217,453
20210218,403
20210219,387
20210220,366
20210221,424
20210222,382
20210223,374
20210224,375
20210225,384
20210226,377
20210227,402
20210228,398
20210301,413
20210302,496
20210303,435
20210304,373
20210305,346
20210306,310
20210307,328
20210308,395
20210309,383
20210310,394
