Date,Views
20210109,88
20210110,90
20210111,84
20210112,111
20210113,61
20210114,49
20210115,64
20210116,83
20210117,78
20210118,83
20210119,58
20210120,55
20210121,55
20210122,53
20210123,53
20210124,55
20210125,68
20210126,67
20210127,53
20210128,61
20210129,60
20210130,73
20210131,75
20210201,65
20210202,98
20210203,86
20210204,56
20210205,65
20210206,49
20210207,57
20210208,69
20210209,65
20210210,69
20210211,54
20210212,64
20210213,67
20210214,60
20210215,51
20210216,43
20210217,56
20210218,47
20210219,53
20210220,56
20210221,53
20210222,41
20210223,49
20210224,50
20210225,35
20210226,54
20210227,46
20210228,44
20210301,39
20210302,58
20210303,63
20210304,54
20210305,44
20210306,37
20210307,49
20210308,43
20210309,65
20210310,52
