Date,Views
20210109,2280
20210110,851
20210111,407
20210112,350
20210113,305
20210114,241
20210115,302
20210116,205
20210117,248
20210118,253
20210119,316
20210120,402
20210121,257
20210122,258
20210123,291
20210124,243
20210125,252
20210126,238
20210127,534
20210128,290
20210129,293
20210130,292
20210131,297
20210201,235
20210202,239
20210203,212
20210204,250
20210205,284
20210206,242
20210207,299
20210208,260
20210209,205
20210210,244
20210211,298
20210212,258
20210213,240
20210214,299
20210215,276
20210216,250
20210217,297
20210218,258
20210219,266
20210220,262
20210221,291
20210222,484
20210223,291
20210224,264
20210225,230
20210226,226
20210227,216
20210228,575
20210301,270
20210302,258
20210303,301
20210304,306
20210305,265
20210306,291
20210307,273
20210308,274
20210309,232
20210310,218
